,Titles,Column_Titles,description,URLs
0,Quarterly personal well-being estimates,"['v4_2', 'LCL', 'UCL', 'yyyy-qq', 'Time', 'uk-only', 'Geography', 'measure-of-wellbeing', 'MeasureOfWellbeing', 'wellbeing-estimate', 'Estimate', 'seasonal-adjustment', 'SeasonalAdjustment']","Seasonally and non seasonally-adjusted quarterly estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety in the UK.",https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly/editions/time-series/versions/6
1,Personal well-being estimates by local authority,"['v4_3', 'Data marking', 'Lower limit', 'Upper limit', 'yyyy-yy', 'Time', 'administrative-geography', 'Geography', 'measure-of-wellbeing', 'MeasureOfWellbeing', 'wellbeing-estimate', 'Estimate']","Estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety at the UK, country, regional, county, local and unitary authority level.",https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority/editions/time-series/versions/3
2,Deaths registered weekly in England and Wales by region,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'week-number', 'Week', 'recorded-deaths', 'Deaths']","Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region/editions/covid-19/versions/133
3,Death registrations and occurrences by local authority and place of death,"['v4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'week-number', 'Week', 'cause-of-death', 'CauseOfDeath', 'place-of-death', 'PlaceOfDeath', 'registration-or-occurrence', 'RegistrationOrOccurrence']","Provisional counts of the number of deaths registered in England and Wales, including deaths involving the coronavirus (COVID-19), by local authority, health board and place of death in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority/editions/2022/versions/65
4,Death registrations and occurrences by health board and place of death,"['v4_0', 'calendar-years', 'Time', 'local-health-board', 'Geography', 'week-number', 'Week', 'cause-of-death', 'CauseOfDeath', 'place-of-death', 'PlaceOfDeath', 'registration-or-occurrence', 'RegistrationOrOccurrence']","Provisional counts of the number of deaths registered in Wales, by health board and place of death, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board/editions/2022/versions/65
5,Deaths registered weekly in England and Wales by age and sex,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'week-number', 'Week', 'sex', 'Sex', 'age-groups', 'AgeGroups', 'recorded-deaths', 'Deaths']","Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.",https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex/editions/covid-19/versions/133
6,UK spending on credit and debit cards,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'uk-only', 'Geography', 'dd-mm', 'DayMonth', 'spend-category', 'Category']",These data series are experimental faster indicators for monitoring UK spending using debit and credit cards.,https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards/editions/time-series/versions/76
7,"UK Business: Activity, Size and Location","['v4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'enterprises-and-local-units', 'EnterprisesAndLocalUnits']","The data contained in these tables are numbers of enterprises and local units produced from a snapshot of the Inter-Departmental Business Register (IDBR) taken on 12 March 2021. This dataset contains details of the number of VAT and/or PAYE based enterprises and local units in districts, counties and unitary authorities within region and country by broad industry group.",https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units/editions/2022/versions/1
8,Traffic Camera Activity,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'uk-only', 'Geography', 'dd-mm', 'DayMonth', 'traffic-camera-area', 'TrafficCameraArea', 'pedestrians-and-vehicles', 'PedestriansAndVehicles', 'seasonal-adjustment', 'SeasonalAdjustment']",Experimental dataset for business indices covering the UK as part of the real-time indicators release to help better understand economic activity and social change in the UK.,https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity/editions/time-series/versions/68
9,Trade in goods: country by commodity,"['v4_0', 'mmm-yy', 'Time', 'uk-only', 'Geography', 'sitc', 'StandardIndustrialTradeClassification', 'countries-and-territories', 'CountriesAndTerritories', 'trade-direction', 'Direction']","Country by commodity data on the UK's trade in goods, including trade by all countries and selected commodities, exports and imports, non seasonally adjusted.",https://api.beta.ons.gov.uk/v1/datasets/trade/editions/time-series/versions/31
